hcp_id,name,specialty,location,experience,rating,fee,degree_qual,kol_score,is_kol,kol_rank,latitude,longitude,degree_centrality,betweenness_centrality
796,Chandrasekar Chikkamuniyappa,orthopedist,Bangalore,31,5.0,600,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",0.3338891164500175,0,1127,12.883429359113,77.550292854957,0.0027457440966501922,3.2953486942645285e-05
2100,Manamohan N,psychiatrist,Basavanagudi,12,4.0,1200,"MBBS, M.D. (Psychiatry), DNB - Psychiatry",0.33382736540124414,0,1128,12.948156,77.567577,0.0002745744096650192,0.0
2101,Manamohan N,psychiatrist,Basavanagudi,12,4.0,1200,"MBBS, M.D. (Psychiatry), DNB - Psychiatry",0.33382736540124414,0,1128,12.90786,77.56493,0.0002745744096650192,0.0
766,Keerthana K S,dermatologist,Jayanagar,9,3.8,500,"MBBS, MD - Dermatology , Venereology & Leprosy",0.3336913293244236,0,1130,12.930785741366224,77.58628606796265,0.0019220208676551346,1.9027340713929443e-07
627,Nagaraja,dermatologist,Jayanagar,33,4.0,900,"MBBS, MD - Dermatology , Venereology & Leprosy",0.33362823516604284,0,1131,12.9281467,77.5970283,0.0027457440966501922,2.014244008201712e-05
62,Vinay D,general-physician,Bannerghatta Road,18,3.5,1000,"MD - Internal Medicine, MBBS, FNB - Infectious Disease",0.3335650635323997,0,1132,12.92373854758,77.551917103229,0.002196595277320154,1.2359241966492721e-06
901,Nagendra Prasad k,orthopedist,Bangalore,11,4.0,1000,"MS - Orthopaedics, MBBS",0.33345625920464683,0,1133,12.869933617098384,77.65389029794743,0.0027457440966501922,0.00031834083043629066
322,Deepa Rawal,general-physician,Bangalore,29,4.0,700,MBBS,0.33309835787513764,0,1134,12.841217976285144,77.64780521392822,0.0027457440966501922,0.00011131394438629311
3456,Dhananjaya  Bhat,neurosurgeon,JP Nagar,27,5.0,1200,"MBBS, MCh - Neuro Surgery",0.33307094169184903,0,1135,12.9108543526037,77.58517026901245,0.001098297638660077,0.0
1537,Srinivas Raju D,neurologist,Hebbal,16,3.5,900,"MBBS, MD - General Medicine, DM - Neurology",0.3326892620855145,0,1136,13.0509374,77.5913499,0.0008237232289950577,0.0
2838,Amit Rauthan,oncologist,Bangalore,27,3.5,1300,"MBBS, MD - General Medicine, DM - Oncology",0.3324270708982423,0,1137,12.95959,77.64937,0.0027457440966501922,1.2621092681515638e-05
3209,Divya Reddy,dentist,Bangalore,21,5.0,300,BDS,0.3323221679679371,0,1138,13.081343470443,77.560377405259,0.0027457440966501922,0.00013442908689859583
617,Chandrashekara Aithal,dermatologist,BTM Layout,35,4.0,600,"MBBS, DVD",0.3323012954122041,0,1139,12.91373,77.60707,0.002196595277320154,0.0
193,Praveen Channappa,general-physician,Bangalore,24,5.0,300,MBBS,0.332223002615052,0,1140,12.903132272784374,77.52387859047728,0.0027457440966501922,0.00012420260390393797
1058,Srinivas Reddy G,orthopedist,Bangalore,25,5.0,600,"MBBS, Diploma in Orthopaedics",0.33214599980414705,0,1141,12.9203135,77.651483,0.0027457440966501922,0.00015000316425582293
2656,Mathangi J,radiologist,Bangalore,27,4.5,800,"MBBS, DNB - Radio Diagnosis, Diploma in Radio Therapy",0.3321081601363008,0,1142,12.90287,77.4978,0.0013728720483250961,0.0
3159,Rajesh Naik,dentist,Bangalore,27,5.0,500,BDS,0.3320425800888567,0,1143,13.02572,77.63505,0.0027457440966501922,0.00015873871288210126
2077,Soumya P,psychiatrist,Indiranagar,15,5.0,1750,"MBBS, DNB - Psychiatry, DPM (Psychiatry)",0.33198172740103754,0,1144,12.978662667472,77.643368840218,0.0027457440966501922,1.4696980413517917e-06
2078,Soumya P,psychiatrist,Indiranagar,15,5.0,1750,"MBBS, DNB - Psychiatry, DPM (Psychiatry)",0.33198172740103754,0,1144,12.911996486327167,77.5996881,0.0027457440966501922,1.632640605450273e-06
1090,Rajesh S,orthopedist,Bangalore,12,3.5,800,"MBBS, MS - Orthopaedics",0.33197835950756005,0,1146,12.95959,77.64937,0.0027457440966501922,4.7444875293598264e-05
2069,Vikram Arunachalam,psychiatrist,Rajajinagar,23,4.5,1450,"MBBS, DNB - Psychiatry",0.331971177135847,0,1147,13.007537003025572,77.56577294034955,0.0,0.0
3267,Geetha S,dentist,KR Puram,16,5.0,300,BDS,0.3315857623316355,0,1148,13.00868,77.69397,0.0002745744096650192,0.0
2447,Shailashree V Bheemaraddi,ophthalmologist,Banashankari,26,4.3,400,"MBBS, DO",0.33141761554241533,0,1149,12.92699648196332,77.54717842620592,0.001098297638660077,0.0
3281,Hemanth,dentist,Banashankari,29,4.3,300,BDS,0.3313745777452623,0,1150,12.9252159,77.5644278,0.0013728720483250961,0.0
889,Vidya Sagar,orthopedist,Jayanagar,19,3.5,750,"MBBS, MS - Orthopaedics",0.33118307527365787,0,1152,12.936327765036,77.584438025951,0.0027457440966501922,1.959604678637911e-06
888,Rahul Puri,orthopedist,Jayanagar,19,3.5,750,"MBBS, MS - Orthopaedics",0.33118307527365787,0,1152,12.9931351,77.5803607,0.0027457440966501922,1.9487058761983232e-06
887,Rahul Puri,orthopedist,Jayanagar,19,3.5,750,"MBBS, MS - Orthopaedics",0.33118307527365787,0,1152,12.936327765036,77.584438025951,0.0027457440966501922,1.8458707543168335e-06
591,K C Dharam Kumar,dermatologist,JP Nagar,11,5.0,750,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology, Venereology & Leprosy",0.33102202084667565,0,1154,12.916865367389,77.604054397284,0.0016474464579901153,0.0
590,K C Dharam Kumar,dermatologist,JP Nagar,11,5.0,750,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology, Venereology & Leprosy",0.33102202084667565,0,1154,12.918912979265354,77.59281297493673,0.0016474464579901153,0.0
941,Nilkumar Hirjibhai Zalavadia,orthopedist,Bangalore,12,4.0,700,"MBBS, DNB - Orthopedics/Orthopedic Surgery",0.3306889489962179,0,1156,12.841217976285144,77.64780521392822,0.0027457440966501922,0.000323144340465957
2800,Ashish Dixit,oncologist,Bangalore,30,3.5,1300,"MBBS, MD - Pediatrics, DM - Haematology Pathology/Hematopthology",0.3303859845129996,0,1157,12.95959,77.64937,0.0027457440966501922,1.0353252594395137e-05
